Instrument,Classification,H-S Number,Origin,Common classification,Relation
Trumpet marine,chordophones,3,Western Europe,stringed instruments,
Tromba marina,chordophones,3,Western Europe,stringed instruments,
Tsymbaly,chordophones,3,"Ukraine, Belarus",stringed instruments,
Tuhu,chordophones,3,China,stringed instruments,
Tzouras,chordophones,321.321,Greece,stringed instruments,
Ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Concert ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Electric ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Harp ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Lap steel ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Pocket ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Resonator ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Soprano ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Tahitian ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Tenor ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Eight-string tenor ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Five-string tenor ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Lili'u,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Six-string tenor ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Baritone ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Bass ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Contrabass ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Cigar box ukulele,chordophones,321.322,Portugal/Hawaii,stringed instruments,
Ukelin,chordophones,3,,stringed instruments,
Valiha,chordophones,3,Madagascar,stringed instruments,
Veena,chordophones,3,India,stringed instruments,
Vertical viola,chordophones,3,,stringed instruments,
Vichitra veena,chordophones,3,India,stringed instruments,
Vielle,chordophones,3,Western Europe,stringed instruments,
Vihuela,chordophones,3,Spain,stringed instruments,
Viol,chordophones,321.322-71,Spain,stringed instruments,
Pardessus de viole,chordophones,321.322-71,Spain,stringed instruments,
Treble viol,chordophones,321.322-71,Spain,stringed instruments,
Alto viol,chordophones,321.322-71,Spain,stringed instruments,
Bass viol,chordophones,321.322-71,Spain,stringed instruments,
Division viol,chordophones,321.322-71,Spain,stringed instruments,
Lyra viol,chordophones,321.322-71,Spain,stringed instruments,
Tenor viol,chordophones,321.322-71,Spain,stringed instruments,
Great bass violone,chordophones,321.322-71,Spain,stringed instruments,
Contrabass violone,chordophones,321.322-71,Spain,stringed instruments,
Viola da gamba,chordophones,3,,stringed instruments,
Viola amarantina,chordophones,3,Portugal,stringed instruments,
Viola bastarda,chordophones,3,Portugal,stringed instruments,
Viola beiroa,chordophones,3,Portugal,stringed instruments,
Viola caipira,chordophones,3,Brazil,stringed instruments,
Viola d'amore,chordophones,3,,stringed instruments,
Viola da terra,chordophones,3,Portugal,stringed instruments,
Viola de arame,chordophones,3,Portugal,stringed instruments,
Viola de cocho,chordophones,3,Brazil,stringed instruments,
Viola organista,chordophones,3,Italy (Da Vinci),stringed instruments,
Viola profonda,chordophones,3,,stringed instruments,
Violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Piccolo violino,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Baroque violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Bass violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Electric violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Five string violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Stroh violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Tenor violin,chordophones,321.322-71,Italy and Western Europe,stringed instruments,
Violone,chordophones,3,,stringed instruments,
Violotta,chordophones,3,Germany,stringed instruments,
Walaycho,chordophones,321.321-5,,stringed instruments,
Waldzither,chordophones,321.322,Germany,stringed instruments,
Washtub bass,chordophones,3,United States,stringed instruments,
Whamola,chordophones,3,United States,stringed instruments,
Wheelharp,chordophones,3,United States,stringed instruments,
Xalam,chordophones,3,West Africa,stringed instruments,
Khalam,chordophones,3,West Africa,stringed instruments,
Yaylı tambur,chordophones,3,Turkey,stringed instruments,
Yangqin,chordophones,3,China,stringed instruments,
Yazheng,chordophones,3,China,stringed instruments,
Yehu,chordophones,3,China,stringed instruments,
Yelatáj chos woley,chordophones,3,Argentina,stringed instruments,Musical bow
Yueqin,chordophones,3,China,stringed instruments,
Zhongruan,chordophones,3,China,stringed instruments,
Zhonghu,chordophones,3,China,stringed instruments,
Zhu,chordophones,3,China,stringed instruments,
Zhengni,chordophones,3,China,stringed instruments,
Zhuihu,chordophones,3,China,stringed instruments,
Zither,chordophones,314.122,"Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine,",stringed instruments,
